course_code,stream_code
001A,BIO_SCIENCE
001B,BIO_SCIENCE
001C,BIO_SCIENCE
001D,BIO_SCIENCE
001E,BIO_SCIENCE
001F,BIO_SCIENCE
001G,BIO_SCIENCE
001H,BIO_SCIENCE
001K,BIO_SCIENCE
001L,BIO_SCIENCE
001M,BIO_SCIENCE
001U,BIO_SCIENCE
002B,BIO_SCIENCE
002C,BIO_SCIENCE
003B,BIO_SCIENCE
004E,BIO_SCIENCE
004H,BIO_SCIENCE
004K,BIO_SCIENCE
004L,BIO_SCIENCE
004M,BIO_SCIENCE
005M,BIO_SCIENCE
006A,BIO_SCIENCE
006B,BIO_SCIENCE
006C,BIO_SCIENCE
006D,BIO_SCIENCE
006E,BIO_SCIENCE
006F,BIO_SCIENCE
006H,BIO_SCIENCE
006J,BIO_SCIENCE
007K,BIO_SCIENCE
007L,BIO_SCIENCE
007R,BIO_SCIENCE
008B,PHYSICAL_SCIENCE
008C,PHYSICAL_SCIENCE
008E,PHYSICAL_SCIENCE
008F,PHYSICAL_SCIENCE
008G,PHYSICAL_SCIENCE
008J,PHYSICAL_SCIENCE
009G,PHYSICAL_SCIENCE
010G,PHYSICAL_SCIENCE
011G,ARTS
011G,COMMERCE
011G,BIO_SCIENCE
011G,PHYSICAL_SCIENCE
011G,ENGINEERING_TECH
011G,BIOSYSTEMS_TECH
012C,PHYSICAL_SCIENCE
012D,PHYSICAL_SCIENCE
012E,PHYSICAL_SCIENCE
012F,PHYSICAL_SCIENCE
012T,PHYSICAL_SCIENCE
012W,PHYSICAL_SCIENCE
013A,PHYSICAL_SCIENCE
013B,PHYSICAL_SCIENCE
013C,PHYSICAL_SCIENCE
013D,PHYSICAL_SCIENCE
013E,PHYSICAL_SCIENCE
013F,PHYSICAL_SCIENCE
013H,PHYSICAL_SCIENCE
013J,PHYSICAL_SCIENCE
014L,ARTS
014L,COMMERCE
014L,BIO_SCIENCE
014L,PHYSICAL_SCIENCE
014L,ENGINEERING_TECH
014L,BIOSYSTEMS_TECH
015K,PHYSICAL_SCIENCE
015L,PHYSICAL_SCIENCE
015M,PHYSICAL_SCIENCE
015R,PHYSICAL_SCIENCE
015W,PHYSICAL_SCIENCE
016A,COMMERCE
016B,COMMERCE
016C,COMMERCE
016D,COMMERCE
016E,COMMERCE
016F,COMMERCE
016H,COMMERCE
016J,COMMERCE
016K,COMMERCE
016L,COMMERCE
016M,COMMERCE
017C,COMMERCE
018C,COMMERCE
018D,COMMERCE
018E,COMMERCE
018H,COMMERCE
018J,COMMERCE
019A,ARTS
019B,ARTS
019C,ARTS
019D,ARTS
019E,ARTS
019F,ARTS
019H,ARTS
019J,ARTS
019K,ARTS
020S,ARTS
041S,ARTS
021L,ARTS
022W,COMMERCE
022R,COMMERCE
023G,ARTS
023G,COMMERCE
023G,BIO_SCIENCE
023G,PHYSICAL_SCIENCE
023G,ENGINEERING_TECH
023G,BIOSYSTEMS_TECH
024G,ARTS
024G,COMMERCE
024G,BIO_SCIENCE
024G,PHYSICAL_SCIENCE
024G,ENGINEERING_TECH
024G,BIOSYSTEMS_TECH
025A,ARTS
025A,COMMERCE
025A,BIO_SCIENCE
025A,PHYSICAL_SCIENCE
025A,ENGINEERING_TECH
025A,BIOSYSTEMS_TECH
025B,ARTS
025B,COMMERCE
025B,BIO_SCIENCE
025B,PHYSICAL_SCIENCE
025B,ENGINEERING_TECH
025B,BIOSYSTEMS_TECH
025E,ARTS
025E,COMMERCE
025E,BIO_SCIENCE
025E,PHYSICAL_SCIENCE
025E,ENGINEERING_TECH
025E,BIOSYSTEMS_TECH
026G,ARTS
026G,COMMERCE
026G,BIO_SCIENCE
026G,PHYSICAL_SCIENCE
026G,ENGINEERING_TECH
026G,BIOSYSTEMS_TECH
027D,ARTS
027D,COMMERCE
027D,BIO_SCIENCE
027D,PHYSICAL_SCIENCE
027D,ENGINEERING_TECH
027D,BIOSYSTEMS_TECH
028C,COMMERCE
029W,ARTS
030G,ARTS
030G,COMMERCE
030G,BIO_SCIENCE
030G,PHYSICAL_SCIENCE
030G,ENGINEERING_TECH
030G,BIOSYSTEMS_TECH
031D,ARTS
032A,BIO_SCIENCE
032P,BIO_SCIENCE
033A,BIO_SCIENCE
034G,ARTS
034G,COMMERCE
034G,BIO_SCIENCE
034G,PHYSICAL_SCIENCE
034G,ENGINEERING_TECH
034G,BIOSYSTEMS_TECH
035B,BIO_SCIENCE
035C,BIO_SCIENCE
035L,BIO_SCIENCE
036E,BIO_SCIENCE
036W,BIO_SCIENCE
037A,BIO_SCIENCE
037B,BIO_SCIENCE
037C,BIO_SCIENCE
037E,BIO_SCIENCE
037F,BIO_SCIENCE
037H,BIO_SCIENCE
038K,ARTS
038K,COMMERCE
038K,BIO_SCIENCE
038K,PHYSICAL_SCIENCE
038K,ENGINEERING_TECH
038K,BIOSYSTEMS_TECH
038R,ARTS
038R,COMMERCE
038R,BIO_SCIENCE
038R,PHYSICAL_SCIENCE
038R,ENGINEERING_TECH
038R,BIOSYSTEMS_TECH
039B,BIO_SCIENCE
050K,BIO_SCIENCE
051B,BIO_SCIENCE
051C,BIO_SCIENCE
051E,BIO_SCIENCE
051F,BIO_SCIENCE
052B,BIO_SCIENCE
052C,BIO_SCIENCE
052E,BIO_SCIENCE
052F,BIO_SCIENCE
053B,BIO_SCIENCE
054A,BIO_SCIENCE
054B,BIO_SCIENCE
055D,BIO_SCIENCE
056G,ARTS
056G,COMMERCE
056G,BIO_SCIENCE
056G,PHYSICAL_SCIENCE
056G,ENGINEERING_TECH
056G,BIOSYSTEMS_TECH
057G,PHYSICAL_SCIENCE
058A,BIO_SCIENCE
059A,PHYSICAL_SCIENCE
060B,PHYSICAL_SCIENCE
062F,BIO_SCIENCE
063J,ARTS
064U,ARTS
064U,COMMERCE
064U,BIO_SCIENCE
064U,PHYSICAL_SCIENCE
064U,ENGINEERING_TECH
064U,BIOSYSTEMS_TECH
065U,ARTS
065U,COMMERCE
065U,BIO_SCIENCE
065U,PHYSICAL_SCIENCE
065U,ENGINEERING_TECH
065U,BIOSYSTEMS_TECH
066U,ARTS
066U,COMMERCE
066U,BIO_SCIENCE
066U,PHYSICAL_SCIENCE
066U,ENGINEERING_TECH
066U,BIOSYSTEMS_TECH
067U,BIO_SCIENCE
068C,ARTS
068E,ARTS
068Y,ARTS
068Z,ARTS
069E,ARTS
069Y,ARTS
069Z,ARTS
070E,ARTS
071Y,ARTS
071Z,ARTS
072Y,ARTS
073U,BIO_SCIENCE
075U,ARTS
075U,COMMERCE
075U,BIO_SCIENCE
075U,PHYSICAL_SCIENCE
075U,ENGINEERING_TECH
075U,BIOSYSTEMS_TECH
076U,ARTS
076U,COMMERCE
076U,BIO_SCIENCE
076U,PHYSICAL_SCIENCE
076U,ENGINEERING_TECH
076U,BIOSYSTEMS_TECH
077C,COMMERCE
079J,ARTS
079J,COMMERCE
079J,BIO_SCIENCE
079J,PHYSICAL_SCIENCE
079J,ENGINEERING_TECH
079J,BIOSYSTEMS_TECH
081E,ARTS
081E,COMMERCE
081E,BIO_SCIENCE
081E,PHYSICAL_SCIENCE
081E,ENGINEERING_TECH
081E,BIOSYSTEMS_TECH
081L,ARTS
081L,COMMERCE
081L,BIO_SCIENCE
081L,PHYSICAL_SCIENCE
081L,ENGINEERING_TECH
081L,BIOSYSTEMS_TECH
082C,ARTS
082C,COMMERCE
082C,BIO_SCIENCE
082C,PHYSICAL_SCIENCE
082C,ENGINEERING_TECH
082C,BIOSYSTEMS_TECH
082D,ARTS
082D,COMMERCE
082D,BIO_SCIENCE
082D,PHYSICAL_SCIENCE
082D,ENGINEERING_TECH
082D,BIOSYSTEMS_TECH
082L,ARTS
082L,COMMERCE
082L,BIO_SCIENCE
082L,PHYSICAL_SCIENCE
082L,ENGINEERING_TECH
082L,BIOSYSTEMS_TECH
083D,BIO_SCIENCE
084J,ARTS
085Z,ARTS
086B,BIO_SCIENCE
087M,BIO_SCIENCE
088U,BIO_SCIENCE
090U,ARTS
090U,COMMERCE
090U,BIO_SCIENCE
090U,PHYSICAL_SCIENCE
090U,ENGINEERING_TECH
090U,BIOSYSTEMS_TECH
091G,ARTS
091G,COMMERCE
091G,BIO_SCIENCE
091G,PHYSICAL_SCIENCE
091G,ENGINEERING_TECH
091G,BIOSYSTEMS_TECH
092K,ARTS
092K,COMMERCE
092K,BIO_SCIENCE
092K,PHYSICAL_SCIENCE
092K,ENGINEERING_TECH
092K,BIOSYSTEMS_TECH
092L,ARTS
092L,COMMERCE
092L,BIO_SCIENCE
092L,PHYSICAL_SCIENCE
092L,ENGINEERING_TECH
092L,BIOSYSTEMS_TECH
093F,BIO_SCIENCE
094F,BIO_SCIENCE
095F,BIO_SCIENCE
096C,ARTS
096C,COMMERCE
096C,BIO_SCIENCE
096C,PHYSICAL_SCIENCE
096C,ENGINEERING_TECH
096C,BIOSYSTEMS_TECH
096L,ARTS
096L,COMMERCE
096L,BIO_SCIENCE
096L,PHYSICAL_SCIENCE
096L,ENGINEERING_TECH
096L,BIOSYSTEMS_TECH
096T,ARTS
096T,COMMERCE
096T,BIO_SCIENCE
096T,PHYSICAL_SCIENCE
096T,ENGINEERING_TECH
096T,BIOSYSTEMS_TECH
097G,ARTS
097G,COMMERCE
097G,BIO_SCIENCE
097G,PHYSICAL_SCIENCE
097G,ENGINEERING_TECH
097G,BIOSYSTEMS_TECH
098D,ARTS
098D,COMMERCE
098D,BIO_SCIENCE
098D,PHYSICAL_SCIENCE
098D,ENGINEERING_TECH
098D,BIOSYSTEMS_TECH
098E,ARTS
098E,COMMERCE
098E,BIO_SCIENCE
098E,PHYSICAL_SCIENCE
098E,ENGINEERING_TECH
098E,BIOSYSTEMS_TECH
098H,ARTS
098H,COMMERCE
098H,BIO_SCIENCE
098H,PHYSICAL_SCIENCE
098H,ENGINEERING_TECH
098H,BIOSYSTEMS_TECH
098L,ARTS
098L,COMMERCE
098L,BIO_SCIENCE
098L,PHYSICAL_SCIENCE
098L,ENGINEERING_TECH
098L,BIOSYSTEMS_TECH
099C,ARTS
099C,COMMERCE
099C,BIO_SCIENCE
099C,PHYSICAL_SCIENCE
099C,ENGINEERING_TECH
099C,BIOSYSTEMS_TECH
099D,ARTS
099D,COMMERCE
099D,BIO_SCIENCE
099D,PHYSICAL_SCIENCE
099D,ENGINEERING_TECH
099D,BIOSYSTEMS_TECH
099L,ARTS
099L,COMMERCE
099L,BIO_SCIENCE
099L,PHYSICAL_SCIENCE
099L,ENGINEERING_TECH
099L,BIOSYSTEMS_TECH
100D,ARTS
100D,COMMERCE
100D,BIO_SCIENCE
100D,PHYSICAL_SCIENCE
100D,ENGINEERING_TECH
100D,BIOSYSTEMS_TECH
101R,ARTS
101R,COMMERCE
101R,BIO_SCIENCE
101R,PHYSICAL_SCIENCE
101R,ENGINEERING_TECH
101R,BIOSYSTEMS_TECH
102A,ENGINEERING_TECH
102C,ENGINEERING_TECH
102D,ENGINEERING_TECH
102E,ENGINEERING_TECH
102F,ENGINEERING_TECH
102K,ENGINEERING_TECH
102L,ENGINEERING_TECH
102M,ENGINEERING_TECH
102U,ENGINEERING_TECH
103A,BIOSYSTEMS_TECH
103C,BIOSYSTEMS_TECH
103D,BIOSYSTEMS_TECH
103E,BIOSYSTEMS_TECH
103F,BIOSYSTEMS_TECH
103H,BIOSYSTEMS_TECH
103J,BIOSYSTEMS_TECH
103K,BIOSYSTEMS_TECH
103L,BIOSYSTEMS_TECH
103M,BIOSYSTEMS_TECH
103U,BIOSYSTEMS_TECH
104A,ARTS
104A,COMMERCE
104A,BIO_SCIENCE
104A,PHYSICAL_SCIENCE
104A,ENGINEERING_TECH
104A,BIOSYSTEMS_TECH
104C,ARTS
104C,COMMERCE
104C,BIO_SCIENCE
104C,PHYSICAL_SCIENCE
104C,ENGINEERING_TECH
104C,BIOSYSTEMS_TECH
104D,ARTS
104D,COMMERCE
104D,BIO_SCIENCE
104D,PHYSICAL_SCIENCE
104D,ENGINEERING_TECH
104D,BIOSYSTEMS_TECH
104F,ARTS
104F,COMMERCE
104F,BIO_SCIENCE
104F,PHYSICAL_SCIENCE
104F,ENGINEERING_TECH
104F,BIOSYSTEMS_TECH
104H,ARTS
104H,COMMERCE
104H,BIO_SCIENCE
104H,PHYSICAL_SCIENCE
104H,ENGINEERING_TECH
104H,BIOSYSTEMS_TECH
104J,ARTS
104J,COMMERCE
104J,BIO_SCIENCE
104J,PHYSICAL_SCIENCE
104J,ENGINEERING_TECH
104J,BIOSYSTEMS_TECH
104K,ARTS
104K,COMMERCE
104K,BIO_SCIENCE
104K,PHYSICAL_SCIENCE
104K,ENGINEERING_TECH
104K,BIOSYSTEMS_TECH
104R,ARTS
104R,COMMERCE
104R,BIO_SCIENCE
104R,PHYSICAL_SCIENCE
104R,ENGINEERING_TECH
104R,BIOSYSTEMS_TECH
104U,ARTS
104U,COMMERCE
104U,BIO_SCIENCE
104U,PHYSICAL_SCIENCE
104U,ENGINEERING_TECH
104U,BIOSYSTEMS_TECH
105C,ARTS
105D,ARTS
105L,ARTS
106F,ARTS
106F,COMMERCE
106F,BIO_SCIENCE
106F,PHYSICAL_SCIENCE
106F,ENGINEERING_TECH
106F,BIOSYSTEMS_TECH
107L,ARTS
107L,COMMERCE
107L,BIO_SCIENCE
107L,PHYSICAL_SCIENCE
107L,ENGINEERING_TECH
107L,BIOSYSTEMS_TECH
108C,PHYSICAL_SCIENCE
108D,PHYSICAL_SCIENCE
109G,ARTS
109G,COMMERCE
109G,BIO_SCIENCE
109G,PHYSICAL_SCIENCE
109G,ENGINEERING_TECH
109G,BIOSYSTEMS_TECH
110D,ARTS
110D,COMMERCE
110D,BIO_SCIENCE
110D,PHYSICAL_SCIENCE
110D,ENGINEERING_TECH
110D,BIOSYSTEMS_TECH
111B,ARTS
111B,COMMERCE
111B,BIO_SCIENCE
111B,PHYSICAL_SCIENCE
111B,ENGINEERING_TECH
111B,BIOSYSTEMS_TECH
112B,ARTS
112C,ARTS
113F,ARTS
113F,COMMERCE
113F,BIO_SCIENCE
113F,PHYSICAL_SCIENCE
113F,ENGINEERING_TECH
113F,BIOSYSTEMS_TECH
114U,ARTS
114U,COMMERCE
114U,BIO_SCIENCE
114U,PHYSICAL_SCIENCE
114U,ENGINEERING_TECH
114U,BIOSYSTEMS_TECH
115D,BIO_SCIENCE
116C,BIO_SCIENCE
117G,PHYSICAL_SCIENCE
118D,BIO_SCIENCE
119D,PHYSICAL_SCIENCE
120P,BIO_SCIENCE
121P,ARTS
121P,COMMERCE
121P,BIO_SCIENCE
121P,PHYSICAL_SCIENCE
121P,ENGINEERING_TECH
121P,BIOSYSTEMS_TECH
122P,ARTS
122P,COMMERCE
122P,BIO_SCIENCE
122P,PHYSICAL_SCIENCE
122P,ENGINEERING_TECH
122P,BIOSYSTEMS_TECH
123P,ARTS
123P,COMMERCE
123P,BIO_SCIENCE
123P,PHYSICAL_SCIENCE
123P,ENGINEERING_TECH
123P,BIOSYSTEMS_TECH
124P,ARTS
124P,COMMERCE
124P,BIO_SCIENCE
124P,PHYSICAL_SCIENCE
124P,ENGINEERING_TECH
124P,BIOSYSTEMS_TECH
125P,ARTS
125P,COMMERCE
125P,BIO_SCIENCE
125P,PHYSICAL_SCIENCE
125P,ENGINEERING_TECH
125P,BIOSYSTEMS_TECH
126P,ARTS
126P,COMMERCE
126P,BIO_SCIENCE
126P,PHYSICAL_SCIENCE
126P,ENGINEERING_TECH
126P,BIOSYSTEMS_TECH
127D,COMMERCE
128C,ARTS
129C,BIO_SCIENCE
130C,BIO_SCIENCE
131C,ARTS
131C,COMMERCE
131C,BIO_SCIENCE
131C,PHYSICAL_SCIENCE
131C,ENGINEERING_TECH
131C,BIOSYSTEMS_TECH
132U,ARTS
132U,COMMERCE
132U,BIO_SCIENCE
132U,PHYSICAL_SCIENCE
132U,ENGINEERING_TECH
132U,BIOSYSTEMS_TECH
133R,COMMERCE
134C,ARTS
134C,COMMERCE
134C,BIO_SCIENCE
134C,PHYSICAL_SCIENCE
134C,ENGINEERING_TECH
134C,BIOSYSTEMS_TECH
135U,ARTS
135U,COMMERCE
135U,BIO_SCIENCE
135U,PHYSICAL_SCIENCE
135U,ENGINEERING_TECH
135U,BIOSYSTEMS_TECH
136L,PHYSICAL_SCIENCE
137A,ARTS
137A,COMMERCE
137A,BIO_SCIENCE
137A,PHYSICAL_SCIENCE
137A,ENGINEERING_TECH
137A,BIOSYSTEMS_TECH
138A,BIO_SCIENCE
139C,ARTS
139C,COMMERCE
139C,BIO_SCIENCE
139C,PHYSICAL_SCIENCE
139C,ENGINEERING_TECH
139C,BIOSYSTEMS_TECH
140P,COMMERCE
